symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2025-08-05,2025-08,1754363400000,1754363460000,11.089392,2.186761,-5.752997,10000.00,-5.75
CRVUSDT,2025-08-05,2025-08,1754363460000,1754363520000,9.608772,22.219753,14.888329,9999.42,14.89
CRVUSDT,2025-08-05,2025-08,1754366400000,1754366460000,8.652601,4.492360,-2.744238,10000.91,-2.74
CRVUSDT,2025-08-06,2025-08,1754444520000,1754444580000,4.907194,11.181924,3.504222,10000.64,3.50
CRVUSDT,2025-08-06,2025-08,1754455080000,1754455140000,6.927537,11.299432,3.039902,10000.99,3.04
CRVUSDT,2025-08-06,2025-08,1754457900000,1754457960000,6.755106,13.431601,5.696061,10001.29,5.70
GALAUSDT,2025-08-06,2025-08,1754499960000,1754500020000,11.170803,6.501929,-1.451196,10001.86,-1.45
CRVUSDT,2025-08-07,2025-08,1754538780000,1754538840000,17.314536,10.822506,2.442677,10001.72,2.44
GALAUSDT,2025-08-07,2025-08,1754565600000,1754565660000,10.132522,12.468828,4.598504,10001.96,4.60
CRVUSDT,2025-08-07,2025-08,1754566140000,1754566200000,4.686614,13.822902,5.963037,10002.42,5.96
GALAUSDT,2025-08-07,2025-08,1754568240000,1754568300000,7.054341,-0.007692,-7.557791,10003.02,-7.56
GALAUSDT,2025-08-07,2025-08,1754570280000,1754570340000,9.551301,12.484395,4.611736,10002.26,4.61
CRVUSDT,2025-08-07,2025-08,1754574420000,1754574480000,7.508747,17.098129,9.709149,10002.72,9.71
SEIUSDT,2025-08-07,2025-08,1754585100000,1754585160000,5.851842,3.286140,-4.048973,10003.70,-4.05
SEIUSDT,2025-08-07,2025-08,1754596860000,1754596920000,8.601030,6.572449,-1.233252,10003.29,-1.23
GALAUSDT,2025-08-08,2025-08,1754611920000,1754611980000,8.685908,12.180268,4.658106,10003.17,4.66
GALAUSDT,2025-08-08,2025-08,1754615820000,1754615880000,14.062001,12.128563,4.913492,10003.63,4.92
CRVUSDT,2025-08-08,2025-08,1754625000000,1754625060000,9.368727,13.594060,5.763850,10004.12,5.77
CRVUSDT,2025-08-08,2025-08,1754625120000,1754625180000,9.414655,7.320081,-0.560404,10004.70,-0.56
CRVUSDT,2025-08-08,2025-08,1754626440000,1754626500000,6.052606,14.749708,7.221778,10004.64,7.23
GALAUSDT,2025-08-08,2025-08,1754637660000,1754637720000,24.978797,5.998796,-1.801924,10005.37,-1.80
GALAUSDT,2025-08-09,2025-08,1754719620000,1754719680000,4.014705,11.383039,3.960483,10005.19,3.96
GALAUSDT,2025-08-09,2025-08,1754721480000,1754721540000,6.993634,17.214997,9.780688,10005.58,9.79
GALAUSDT,2025-08-09,2025-08,1754721960000,1754722020000,4.866770,5.747126,-1.689490,10006.56,-1.69
CRVUSDT,2025-08-09,2025-08,1754775960000,1754776020000,5.717630,8.042622,0.434460,10006.39,0.43
GALAUSDT,2025-08-10,2025-08,1754787960000,1754788020000,6.708788,11.043622,3.662409,10006.44,3.66
GALAUSDT,2025-08-10,2025-08,1754862000000,1754862060000,13.840447,11.396011,3.971347,10006.80,3.97
GALAUSDT,2025-08-11,2025-08,1754903760000,1754903820000,6.935483,11.280316,3.870118,10007.20,3.87
GALAUSDT,2025-08-11,2025-08,1754904060000,1754904120000,7.510512,5.640144,-2.053814,10007.59,-2.06
GALAUSDT,2025-08-11,2025-08,1754910000000,1754910060000,3.878619,5.717538,-1.999692,10007.38,-2.00
CRVUSDT,2025-08-11,2025-08,1754926440000,1754926500000,6.661901,10.373444,2.765555,10007.18,2.77
CRVUSDT,2025-08-11,2025-08,1754926740000,1754926800000,4.785222,15.541358,8.090452,10007.46,8.10
CRVUSDT,2025-08-11,2025-08,1754949300000,1754949360000,10.171410,12.915957,5.463809,10008.27,5.47
CRVUSDT,2025-08-12,2025-08,1754957520000,1754957580000,6.503966,14.109560,6.209740,10008.82,6.22
CRVUSDT,2025-08-12,2025-08,1754958360000,1754958420000,3.525879,4.341629,-3.335456,10009.44,-3.34
CRVUSDT,2025-08-12,2025-08,1754958720000,1754958780000,4.968411,5.400114,-2.060591,10009.10,-2.06
GALAUSDT,2025-08-12,2025-08,1754987760000,1754987820000,11.851352,5.938238,-1.545617,10008.90,-1.55
GALAUSDT,2025-08-12,2025-08,1754995140000,1754995200000,6.111953,6.005897,-2.102537,10008.74,-2.10
GALAUSDT,2025-08-12,2025-08,1754996640000,1754996700000,7.337137,18.086818,9.976750,10008.53,9.99
GALAUSDT,2025-08-13,2025-08,1755043500000,1755043560000,12.691003,5.521808,-1.859255,10009.53,-1.86
GALAUSDT,2025-08-13,2025-08,1755048360000,1755048420000,3.814949,11.135857,3.743875,10009.34,3.75
GALAUSDT,2025-08-13,2025-08,1755050400000,1755050460000,2.952534,5.580343,-2.095635,10009.72,-2.10
CRVUSDT,2025-08-13,2025-08,1755066060000,1755066120000,12.258725,5.997599,-1.051797,10009.51,-1.05
CRVUSDT,2025-08-13,2025-08,1755068280000,1755068340000,6.259735,11.682243,3.978587,10009.40,3.98
CRVUSDT,2025-08-13,2025-08,1755069480000,1755069540000,5.393073,4.885194,-2.725691,10009.80,-2.73
SEIUSDT,2025-08-13,2025-08,1755076680000,1755076740000,45.406196,8.963251,1.619165,10009.53,1.62
SEIUSDT,2025-08-13,2025-08,1755079800000,1755079860000,4.911186,2.903598,-4.548876,10009.69,-4.55
SEIUSDT,2025-08-13,2025-08,1755079980000,1755080040000,6.691889,5.841106,-1.763668,10009.24,-1.77
GALAUSDT,2025-08-14,2025-08,1755130440000,1755130500000,4.059441,5.282617,-2.037341,10009.06,-2.04
GALAUSDT,2025-08-14,2025-08,1755135660000,1755135720000,6.780079,10.548523,3.229680,10008.86,3.23
CRVUSDT,2025-08-14,2025-08,1755180720000,1755180780000,8.443124,6.383410,-1.263610,10009.18,-1.26
CRVUSDT,2025-08-14,2025-08,1755182760000,1755182820000,8.330643,10.535188,3.216916,10009.05,3.22
CRVUSDT,2025-08-14,2025-08,1755187500000,1755187560000,4.837989,3.224521,-3.957022,10009.37,-3.96
GALAUSDT,2025-08-14,2025-08,1755206580000,1755206640000,5.543512,30.303297,22.793089,10008.98,22.81
GALAUSDT,2025-08-15,2025-08,1755216960000,1755217020000,11.252606,5.959459,-1.528990,10011.26,-1.53
GALAUSDT,2025-08-15,2025-08,1755217140000,1755217200000,9.143296,11.904762,4.119048,10011.11,4.12
CRVUSDT,2025-08-15,2025-08,1755218700000,1755218760000,4.605525,3.206154,-4.844459,10011.52,-4.85
CRVUSDT,2025-08-15,2025-08,1755218760000,1755218820000,8.450660,16.244901,8.676600,10011.03,8.69
CRVUSDT,2025-08-15,2025-08,1755218880000,1755218940000,7.717778,18.407526,9.862894,10011.90,9.87
GALAUSDT,2025-08-15,2025-08,1755221400000,1755221460000,7.596494,11.911852,3.827100,10012.89,3.83
GALAUSDT,2025-08-16,2025-08,1755302820000,1755302880000,7.824846,6.027723,-1.781686,10013.27,-1.78
CRVUSDT,2025-08-16,2025-08,1755305100000,1755305160000,6.874709,6.835267,-0.815156,10013.09,-0.82
