symbol,day,month,entry_ts_ms,exit_ts_ms,score,gross_pnl_bps,net_pnl_bps,alloc_dollars,pnl_dollars
CRVUSDT,2026-02-01,2026-02,1769930640000,1769930700000,6.469294,31.191036,21.034864,25000.00,52.59
CRVUSDT,2026-02-01,2026-02,1769937480000,1769937540000,6.700142,34.506556,23.323916,25013.15,58.34
CRVUSDT,2026-02-01,2026-02,1769942940000,1769943000000,8.622369,41.594459,30.919437,25027.73,77.38
GALAUSDT,2026-02-01,2026-02,1769961000000,1769961060000,22.488523,6.428967,-3.637843,25047.08,-9.11
GALAUSDT,2026-02-01,2026-02,1769967840000,1769967900000,9.722477,-2.133554,-12.413993,25044.80,-31.09
CRVUSDT,2026-02-02,2026-02,1769994480000,1769994540000,9.698500,-3.610671,-13.636744,25037.03,-34.14
CRVUSDT,2026-02-02,2026-02,1770000960000,1770001020000,16.625210,32.673149,22.427437,25028.49,56.13
CRVUSDT,2026-02-02,2026-02,1770004380000,1770004440000,17.127062,14.513779,3.904828,25042.52,9.78
GALAUSDT,2026-02-02,2026-02,1770015480000,1770015540000,13.890227,8.560709,-1.400702,25044.97,-3.51
GALAUSDT,2026-02-02,2026-02,1770021240000,1770021300000,50.015607,14.934885,3.695440,25044.09,9.25
GALAUSDT,2026-02-02,2026-02,1770023100000,1770023160000,20.063783,25.684932,14.757155,25046.41,36.96
CRVUSDT,2026-02-03,2026-02,1770078720000,1770078780000,29.359909,17.367112,6.160958,25055.65,15.44
GALAUSDT,2026-02-03,2026-02,1770113340000,1770113400000,8.577174,8.361188,-2.085530,25059.51,-5.23
CRVUSDT,2026-02-03,2026-02,1770115800000,1770115860000,20.519634,38.506827,27.632186,25058.20,69.24
CRVUSDT,2026-02-03,2026-02,1770130680000,1770130740000,8.922425,28.368762,16.749276,25075.51,42.00
GALAUSDT,2026-02-03,2026-02,1770139260000,1770139320000,11.582585,42.785373,32.179867,25086.01,80.73
GALAUSDT,2026-02-03,2026-02,1770140280000,1770140340000,16.490144,10.750364,0.349272,25106.19,0.88
CRVUSDT,2026-02-04,2026-02,1770169260000,1770169320000,9.152198,35.348180,23.564237,25106.41,59.16
CRVUSDT,2026-02-04,2026-02,1770172440000,1770172500000,14.801193,14.270376,3.349245,25121.20,8.41
CRVUSDT,2026-02-04,2026-02,1770176880000,1770176940000,10.583031,28.203775,17.486504,25123.30,43.93
GALAUSDT,2026-02-04,2026-02,1770206460000,1770206520000,14.444857,21.061500,11.126580,25134.29,27.97
GALAUSDT,2026-02-04,2026-02,1770210120000,1770210180000,6.997931,12.647532,1.971839,25141.28,4.96
GALAUSDT,2026-02-04,2026-02,1770212400000,1770212460000,11.996658,12.744261,2.901025,25142.52,7.29
CRVUSDT,2026-02-05,2026-02,1770253920000,1770253980000,6.379660,-14.534822,-24.608039,25144.34,-61.88
CRVUSDT,2026-02-05,2026-02,1770255900000,1770255960000,11.554656,10.952876,0.145464,25128.87,0.37
CRVUSDT,2026-02-05,2026-02,1770257520000,1770257580000,16.166184,33.400686,23.115351,25128.96,58.09
GALAUSDT,2026-02-05,2026-02,1770266760000,1770266820000,9.423327,19.654946,8.893004,25143.49,22.36
GALAUSDT,2026-02-05,2026-02,1770268440000,1770268500000,10.037225,-2.193454,-12.643090,25149.08,-31.80
GALAUSDT,2026-02-05,2026-02,1770268500000,1770268560000,10.268003,37.352500,26.795025,25141.13,67.37
CRVUSDT,2026-02-06,2026-02,1770336720000,1770336780000,44.966325,35.653127,23.383475,25157.97,58.83
SEIUSDT,2026-02-06,2026-02,1770337860000,1770337920000,39.915107,12.829219,2.869643,25172.67,7.22
CRVUSDT,2026-02-06,2026-02,1770339660000,1770339720000,19.670768,12.987013,0.805355,25174.48,2.03
GALAUSDT,2026-02-06,2026-02,1770340680000,1770340740000,25.724368,-2.625724,-13.448533,25174.99,-33.86
GALAUSDT,2026-02-06,2026-02,1770340740000,1770340800000,22.952390,33.495217,22.793745,25166.52,57.36
CRVUSDT,2026-02-06,2026-02,1770347580000,1770347640000,8.950934,34.987978,23.676627,25180.86,59.62
SEIUSDT,2026-02-06,2026-02,1770360360000,1770360420000,19.229846,1.369452,-8.708462,25195.77,-21.94
GALAUSDT,2026-02-06,2026-02,1770369840000,1770369900000,12.438041,2.524013,-7.522843,25190.28,-18.95
